"","INDEX","X2000","X2087","change","EEZID"
"786",105991,18,7,-11,945
"787",105992,18,7,-11,945
"788",105993,18,7,-11,945
"789",105994,18,7,-11,945
"790",105995,18,7,-11,945
"791",105996,18,7,-11,945
"792",105997,18,7,-11,945
"793",105998,18,7,-11,945
"794",105999,20,7,-13,945
"795",106000,21,8,-13,945
"796",106001,22,10,-12,945
"797",106002,28,15,-13,945
"798",106003,88,68,-20,945
"799",106004,87,68,-19,945
"800",106005,80,65,-15,945
"801",106010,78,64,-14,945
"802",106011,79,66,-13,945
"803",106012,79,67,-12,945
"804",106686,14,17,3,945
"805",106687,14,17,3,945
"806",106688,14,17,3,945
"807",106689,14,17,3,945
"808",106690,14,16,2,945
"809",106691,14,10,-4,945
"810",106692,14,10,-4,945
"811",106693,14,10,-4,945
"812",106694,15,9,-6,945
"813",106695,15,8,-7,945
"814",106696,14,7,-7,945
"815",106697,14,7,-7,945
"816",106698,13,7,-6,945
"817",106699,13,7,-6,945
"818",106700,13,7,-6,945
"819",106701,13,7,-6,945
"820",106702,13,7,-6,945
"821",106703,15,7,-8,945
"822",106709,18,7,-11,945
"823",106710,18,7,-11,945
"824",106711,18,7,-11,945
"825",106712,18,7,-11,945
"826",106713,18,7,-11,945
"827",106714,18,7,-11,945
"828",106715,18,7,-11,945
"829",106716,18,7,-11,945
"830",106717,18,7,-11,945
"831",106718,18,7,-11,945
"832",106719,20,7,-13,945
"833",106720,20,7,-13,945
"834",106721,20,8,-12,945
"835",106722,20,8,-12,945
"836",106723,23,13,-10,945
"837",106724,26,16,-10,945
"838",106725,88,69,-19,945
"839",106726,88,70,-18,945
"840",106727,87,71,-16,945
"841",106728,87,71,-16,945
"842",106729,88,72,-16,945
"843",106730,87,72,-15,945
"844",106731,72,59,-13,945
"845",106732,82,68,-14,945
"846",106733,86,73,-13,945
"847",106734,83,71,-12,945
"848",107407,14,9,-5,945
"849",107408,14,9,-5,945
"850",107409,14,9,-5,945
"851",107410,15,9,-6,945
"852",107411,15,8,-7,945
"853",107412,15,8,-7,945
"854",107413,15,8,-7,945
"855",107414,15,8,-7,945
"856",107415,14,7,-7,945
"857",107417,13,7,-6,945
"858",107418,13,7,-6,945
"859",107419,13,7,-6,945
"860",107420,12,7,-5,945
"861",107430,18,7,-11,945
"862",107431,18,7,-11,945
"863",107432,19,7,-12,945
"864",107433,18,7,-11,945
"865",107434,18,7,-11,945
"866",107435,18,7,-11,945
"867",107436,18,7,-11,945
"868",107437,18,7,-11,945
"869",107438,18,7,-11,945
"870",107439,20,8,-12,945
"871",107440,20,8,-12,945
"872",107441,20,8,-12,945
"873",107442,20,8,-12,945
"874",107443,19,11,-8,945
"875",107444,19,11,-8,945
"876",107445,19,11,-8,945
"877",107446,19,11,-8,945
"878",107447,20,12,-8,945
"879",107448,20,12,-8,945
"880",107449,21,12,-9,945
"881",107450,22,13,-9,945
"882",107451,49,35,-14,945
"883",107452,49,35,-14,945
"884",107453,81,66,-15,945
"885",107454,88,75,-13,945
"886",107455,83,71,-12,945
"887",108152,17,7,-10,945
"888",108153,17,7,-10,945
"889",108154,18,7,-11,945
"890",108155,18,7,-11,945
"891",108156,18,7,-11,945
"892",108157,18,7,-11,945
"893",108158,18,7,-11,945
