"","INDEX","X2000","X2087","change","EEZID"
"484",99489,21,17,-4,945
"485",99490,22,17,-5,945
"486",99491,23,20,-3,945
"487",99492,23,20,-3,945
"488",99493,23,21,-2,945
"489",99494,23,21,-2,945
"490",99495,23,21,-2,945
"491",99496,24,22,-2,945
"492",99497,22,21,-1,945
"493",99498,23,21,-2,945
"494",99499,23,21,-2,945
"495",99500,23,21,-2,945
"496",99501,23,21,-2,945
"497",99502,22,21,-1,945
"498",99503,22,21,-1,945
"499",99504,22,21,-1,945
"500",99505,20,20,0,945
"501",99506,21,20,-1,945
"502",99507,22,19,-3,945
"503",99508,55,47,-8,945
"504",99509,101,98,-3,945
"505",99510,101,97,-4,945
"506",100205,14,13,-1,945
"507",100206,15,13,-2,945
"508",100207,16,18,2,945
"509",100208,19,18,-1,945
"510",100209,19,19,0,945
"511",100210,22,20,-2,945
"512",100211,23,21,-2,945
"513",100212,22,21,-1,945
"514",100213,22,21,-1,945
"515",100214,22,21,-1,945
"516",100215,23,22,-1,945
"517",100216,23,22,-1,945
"518",100217,22,21,-1,945
"519",100218,22,21,-1,945
"520",100219,22,21,-1,945
"521",100220,22,21,-1,945
"522",100221,22,21,-1,945
"523",100222,22,21,-1,945
"524",100223,22,21,-1,945
"525",100224,22,21,-1,945
"526",100225,21,18,-3,945
"527",100226,21,19,-2,945
"528",100227,22,19,-3,945
"529",100228,23,19,-4,945
"530",100229,82,81,-1,945
"531",100230,79,78,-1,945
"532",100924,13,12,-1,945
"533",100925,14,13,-1,945
"534",100926,14,13,-1,945
"535",100927,16,18,2,945
"536",100928,16,18,2,945
"537",100929,18,19,1,945
"538",100930,20,19,-1,945
"539",100931,20,20,0,945
"540",100932,21,21,0,945
"541",100933,22,21,-1,945
"542",100934,22,21,-1,945
"543",100935,23,22,-1,945
"544",100936,22,22,0,945
"545",100937,22,21,-1,945
"546",100938,22,21,-1,945
"547",100939,22,21,-1,945
"548",100940,22,21,-1,945
"549",100941,22,21,-1,945
"550",100942,22,21,-1,945
"551",100943,22,21,-1,945
"552",100944,22,21,-1,945
"553",100945,21,18,-3,945
"554",100946,21,18,-3,945
"555",100947,22,19,-3,945
